iter	Passed	Remaining
0	6	3018
1	9	2261
2	11	1922
3	14	1749
4	16	1652
5	19	1581
6	21	1529
7	24	1491
8	26	1460
9	29	1436
10	31	1416
11	34	1397
12	36	1382
13	39	1369
14	41	1357
15	44	1346
16	47	1338
17	49	1332
18	52	1322
19	54	1314
20	57	1306
21	59	1298
22	62	1291
23	64	1285
24	67	1278
25	69	1273
26	72	1267
27	74	1261
28	77	1256
29	79	1251
30	82	1246
31	84	1242
32	87	1237
33	89	1232
34	92	1228
35	94	1224
36	97	1220
37	100	1216
38	102	1212
39	105	1207
40	107	1204
41	110	1200
42	112	1196
43	115	1195
44	117	1192
45	120	1188
46	122	1185
47	125	1181
48	127	1178
49	130	1174
50	133	1171
51	135	1167
52	138	1164
53	140	1160
54	143	1157
55	145	1154
56	148	1150
57	150	1147
58	153	1144
59	155	1141
60	158	1138
61	160	1135
62	163	1131
63	165	1128
64	168	1125
65	170	1122
66	173	1119
67	175	1116
68	178	1112
69	180	1110
70	183	1107
71	185	1104
72	188	1101
73	190	1098
74	193	1095
75	195	1091
76	198	1089
77	200	1086
78	203	1083
79	205	1080
80	208	1077
81	210	1074
82	213	1071
83	215	1069
84	218	1066
85	220	1063
86	223	1060
87	225	1057
88	228	1055
89	231	1052
90	233	1049
91	236	1046
92	238	1043
93	241	1041
94	243	1038
95	246	1035
96	248	1033
97	251	1030
98	253	1027
99	256	1025
100	258	1022
101	261	1019
102	263	1016
103	266	1014
104	268	1011
105	271	1008
106	273	1006
107	276	1003
108	279	1000
109	281	998
110	284	995
111	286	992
112	289	990
113	291	987
114	294	984
115	296	982
116	299	979
117	301	976
118	304	974
119	306	971
120	309	968
121	311	965
122	314	962
123	316	959
124	318	956
125	321	953
126	323	950
127	326	947
128	328	944
129	330	941
130	333	938
131	335	935
132	337	932
133	340	929
134	342	926
135	345	923
136	347	920
137	349	918
138	352	915
139	354	912
140	357	909
141	359	906
142	361	903
143	364	900
144	366	897
145	368	894
146	371	891
147	373	888
148	376	886
149	378	883
150	380	880
151	383	877
152	385	874
153	388	871
154	390	869
155	392	866
156	395	863
157	397	860
158	400	857
159	402	855
160	404	852
161	407	849
162	409	846
163	411	843
164	414	841
